NR.1,Vulnerable Smart Contract ,Vulnerability/Bug,Analyzed,Reentrancy,Timestamp Dependancy,Transaction ordering dependancy,Mishandled exceptions,Integer overflow/underflow,Gas overusage,Phishing with tx.origin,Signature replay,Assertion Failure,Additional info,Compiler version
,,,,,,,,,,,,/,/,
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X,FALSE,/,0.3.1
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X,/,/,
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",No ,X,X,X,X,X,X,X,X,FALSE,/,0.4.2
4,KotET Sample compiler version 0.3.1,Gasless send,No ,1,X,X,1,X,X,X,X,,/,/
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,X,1,X,X,X,FALSE,/,0.2.1-fad2d4df
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",No ,X,X,X,X,X,X,X,X,/,/,
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,X,X,X,X,X,FALSE,Failed the first time.,0.3.1
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,X,X,X,X,X,/,,
9,FirePonzi,Type casts (intentional scam),Yes,1,X,X,X,X,X,X,X,FALSE,/,0.4.2
10,Parity Multisig,Unintended function exposure,No ,X,X,X,X,1,X,X,X,/,,
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,X,X,X,X,X,FALSE,Failed the first time.,0.2.1-2016-01-30-91a6b35
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,X,X,X,/,,
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,FALSE,/,0.3.1
14,GreedPit,Contract that do not refund,No ,X,X,X,X,1,X,X,X,/,,
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,FALSE,,0.2.1-2016-01-30-91a6b35
16,Tomeka,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,/,/,
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,X,X,X,X,X,FALSE,,0.3.1-2016-04-07-054bc2a
18,RockPaperScissors (RPS),Public moves,No ,1,X,X,1,X,X,X,X,/,,
19,SmartBillions,Blockhash bug,Yes,X,X,X,X,X,X,X,X,,,0.4.6
20,EtherPot,Unchecked-send bug,No ,X,X,X,X,X,X,X,X,/,,
21,TheRun,Timestamp dependence,Yes,X,X,X,1,X,X,X,X,FALSE,,0.2.1-2016-01-30-91a6b35
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,1,X,X,X,X,X,X,X,,,
23,OddsAndEvents Compiler 0.4.2 Sample,Keeping secrets,Yes,1,X,X,1,X,1,1,1,FALSE,,0.3.1-2016-04-12-3ad5e82
24,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X,/,,
25,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,1,X,X,X,X,X,X,X,FALSE,,0.2.1-2016-01-30-91a6b35
26,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",No ,X,X,X,X,X,X,X,X,,,
27,KotET Sample compiler version 0.3.1,Gasless send,No ,1,X,X,1,X,X,X,X,,,0.3.0-2016-03-11-1f9578c
28,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,X,1,X,X,X,/,,
29,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit",No ,X,X,X,X,X,X,X,X,FALSE,Failed the first time.,0.3.1-2016-04-12-3ad5e82
30,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,X,X,X,X,X,/,,
31,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,X,X,X,X,X,FALSE,,0.2.1-2016-01-30-91a6b35
32,FirePonzi,Type casts (intentional scam),Yes,1,X,X,X,X,X,X,X,/,,
33,Parity Multisig,Unintended function exposure,No ,X,X,X,X,1,X,X,X,FALSE,,0.3.1-2016-04-12-3ad5e82
34,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,X,X,X,X,X,/,,
35,StackyGame,Typo (wrong constructor name),Yes,X,X,X,1,1,X,X,X,FALSE,,0.3.1-2016-04-12-3ad5e82
36,DynamicPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,/,Failed the first time.,
37,GreedPit,Contract that do not refund,No ,X,X,X,X,1,X,X,X,FALSE,Failed the first time.,0.3.1-2016-04-12-3ad5e82
38,NanoPyramid,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,/,,
39,Tomeka,Contract that do not refund,Yes,X,X,X,X,X,X,X,X,FALSE,Failed the first time.,0.4.3
40,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,X,X,X,X,X,,Failed the first time.,
